Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,,,Attend.,Arena,Notes
"Wed, Mar 1, 2023",7:00p,Phoenix Suns,105,Charlotte Hornets,91,Box Score,,19137.0,Spectrum Center,
"Wed, Mar 1, 2023",7:00p,Chicago Bulls,117,Detroit Pistons,115,Box Score,,18098.0,Little Caesars Arena,
"Wed, Mar 1, 2023",7:30p,Cleveland Cavaliers,113,Boston Celtics,117,Box Score,,19156.0,TD Garden,
"Wed, Mar 1, 2023",7:30p,Philadelphia 76ers,119,Miami Heat,96,Box Score,,19600.0,Kaseya Center,
"Wed, Mar 1, 2023",7:30p,Brooklyn Nets,118,New York Knicks,142,Box Score,,19812.0,Madison Square Garden (IV),
"Wed, Mar 1, 2023",8:00p,Memphis Grizzlies,113,Houston Rockets,99,Box Score,,15919.0,Toyota Center,
"Wed, Mar 1, 2023",8:00p,Orlando Magic,117,Milwaukee Bucks,139,Box Score,,17354.0,Fiserv Forum,
"Wed, Mar 1, 2023",8:00p,Los Angeles Lakers,123,Oklahoma City Thunder,117,Box Score,,17114.0,Paycom Center,
"Wed, Mar 1, 2023",10:00p,New Orleans Pelicans,121,Portland Trail Blazers,110,Box Score,,18566.0,Moda Center,
"Thu, Mar 2, 2023",7:00p,Toronto Raptors,108,Washington Wizards,119,Box Score,,14643.0,Capital One Arena,
"Thu, Mar 2, 2023",7:30p,Philadelphia 76ers,126,Dallas Mavericks,133,Box Score,,20002.0,American Airlines Center,
"Thu, Mar 2, 2023",8:30p,Indiana Pacers,99,San Antonio Spurs,110,Box Score,,14617.0,AT&T Center,
"Thu, Mar 2, 2023",10:00p,Los Angeles Clippers,91,Golden State Warriors,115,Box Score,,18064.0,Chase Center,
"Fri, Mar 3, 2023",7:00p,Orlando Magic,117,Charlotte Hornets,106,Box Score,,16683.0,Spectrum Center,
"Fri, Mar 3, 2023",7:30p,Portland Trail Blazers,111,Atlanta Hawks,129,Box Score,,17521.0,State Farm Arena,
"Fri, Mar 3, 2023",7:30p,Brooklyn Nets,115,Boston Celtics,105,Box Score,,19156.0,TD Garden,
"Fri, Mar 3, 2023",8:00p,Phoenix Suns,125,Chicago Bulls,104,Box Score,,21169.0,United Center,
"Fri, Mar 3, 2023",8:00p,New York Knicks,122,Miami Heat,120,Box Score,,19600.0,Kaseya Center,
"Fri, Mar 3, 2023",8:00p,Utah Jazz,103,Oklahoma City Thunder,130,Box Score,,16538.0,Paycom Center,
"Fri, Mar 3, 2023",10:00p,Memphis Grizzlies,97,Denver Nuggets,113,Box Score,,19641.0,Ball Arena,
"Fri, Mar 3, 2023",10:00p,New Orleans Pelicans,99,Golden State Warriors,108,Box Score,,18064.0,Chase Center,
"Fri, Mar 3, 2023",10:00p,Los Angeles Clippers,127,Sacramento Kings,128,Box Score,,18111.0,Golden 1 Center,
"Fri, Mar 3, 2023",10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,102,Box Score,,18997.0,Crypto.com Arena,
"Sat, Mar 4, 2023",5:00p,Toronto Raptors,116,Washington Wizards,109,Box Score,OT,18174.0,Capital One Arena,
"Sat, Mar 4, 2023",7:30p,Detroit Pistons,90,Cleveland Cavaliers,114,Box Score,,19432.0,Rocket Mortgage Fieldhouse,
"Sat, Mar 4, 2023",8:00p,Atlanta Hawks,109,Miami Heat,117,Box Score,,19600.0,Kaseya Center,
"Sat, Mar 4, 2023",8:00p,Houston Rockets,122,San Antonio Spurs,110,Box Score,,18354.0,AT&T Center,
"Sat, Mar 4, 2023",8:30p,Philadelphia 76ers,133,Milwaukee Bucks,130,Box Score,,18100.0,Fiserv Forum,
"Sat, Mar 4, 2023",10:00p,Minnesota Timberwolves,138,Sacramento Kings,134,Box Score,,18111.0,Golden 1 Center,
"Sun, Mar 5, 2023",1:00p,Phoenix Suns,130,Dallas Mavericks,126,Box Score,,20311.0,American Airlines Center,
"Sun, Mar 5, 2023",3:30p,Indiana Pacers,125,Chicago Bulls,122,Box Score,,21225.0,United Center,
"Sun, Mar 5, 2023",3:30p,Golden State Warriors,105,Los Angeles Lakers,113,Box Score,,18997.0,Crypto.com Arena,
"Sun, Mar 5, 2023",6:00p,Charlotte Hornets,86,Brooklyn Nets,102,Box Score,,17921.0,Barclays Center,
"Sun, Mar 5, 2023",6:00p,Portland Trail Blazers,122,Orlando Magic,119,Box Score,,18846.0,Amway Center,
"Sun, Mar 5, 2023",7:00p,San Antonio Spurs,110,Houston Rockets,142,Box Score,,16721.0,Toyota Center,
"Sun, Mar 5, 2023",7:00p,Utah Jazz,119,Oklahoma City Thunder,129,Box Score,,14778.0,Paycom Center,
"Sun, Mar 5, 2023",7:30p,New York Knicks,131,Boston Celtics,129,Box Score,2OT,19156.0,TD Garden,
"Sun, Mar 5, 2023",7:30p,Milwaukee Bucks,117,Washington Wizards,111,Box Score,,18746.0,Capital One Arena,
"Sun, Mar 5, 2023",10:00p,Memphis Grizzlies,129,Los Angeles Clippers,135,Box Score,,19068.0,Crypto.com Arena,
"Mon, Mar 6, 2023",7:00p,Boston Celtics,114,Cleveland Cavaliers,118,Box Score,OT,19432.0,Rocket Mortgage Fieldhouse,
"Mon, Mar 6, 2023",7:00p,Portland Trail Blazers,110,Detroit Pistons,104,Box Score,,16989.0,Little Caesars Arena,
"Mon, Mar 6, 2023",7:00p,Philadelphia 76ers,147,Indiana Pacers,143,Box Score,,15008.0,Gainbridge Fieldhouse,
"Mon, Mar 6, 2023",7:30p,Atlanta Hawks,128,Miami Heat,130,Box Score,,19600.0,Kaseya Center,
"Mon, Mar 6, 2023",9:00p,Toronto Raptors,113,Denver Nuggets,118,Box Score,,19520.0,Ball Arena,
"Mon, Mar 6, 2023",10:00p,New Orleans Pelicans,108,Sacramento Kings,123,Box Score,,17708.0,Golden 1 Center,
"Tue, Mar 7, 2023",7:00p,Washington Wizards,119,Detroit Pistons,117,Box Score,,17855.0,Little Caesars Arena,
"Tue, Mar 7, 2023",7:00p,Milwaukee Bucks,134,Orlando Magic,123,Box Score,,16110.0,Amway Center,
"Tue, Mar 7, 2023",7:30p,Philadelphia 76ers,117,Minnesota Timberwolves,94,Box Score,,17136.0,Target Center,
"Tue, Mar 7, 2023",7:30p,Charlotte Hornets,112,New York Knicks,105,Box Score,,19812.0,Madison Square Garden (IV),
"Tue, Mar 7, 2023",8:00p,Brooklyn Nets,118,Houston Rockets,96,Box Score,,14833.0,Toyota Center,
"Tue, Mar 7, 2023",8:00p,Golden State Warriors,128,Oklahoma City Thunder,137,Box Score,,16142.0,Paycom Center,
"Tue, Mar 7, 2023",8:30p,Utah Jazz,116,Dallas Mavericks,120,Box Score,,20277.0,American Airlines Center,
"Tue, Mar 7, 2023",10:00p,Memphis Grizzlies,103,Los Angeles Lakers,112,Box Score,,18997.0,Crypto.com Arena,
"Wed, Mar 8, 2023",7:00p,Atlanta Hawks,122,Washington Wizards,120,Box Score,,15087.0,Capital One Arena,
"Wed, Mar 8, 2023",7:30p,Portland Trail Blazers,93,Boston Celtics,115,Box Score,,19156.0,TD Garden,
