Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,,,Attend.,Arena,Notes
"Tue, Nov 1, 2022",7:30p,Chicago Bulls,108,Brooklyn Nets,99,Box Score,,17732.0,Barclays Center,
"Tue, Nov 1, 2022",7:30p,Golden State Warriors,109,Miami Heat,116,Box Score,,19600.0,Kaseya Center,
"Tue, Nov 1, 2022",8:00p,Orlando Magic,108,Oklahoma City Thunder,116,Box Score,,13109.0,Paycom Center,
"Tue, Nov 1, 2022",10:00p,Minnesota Timberwolves,107,Phoenix Suns,116,Box Score,,17071.0,Footprint Center,
"Wed, Nov 2, 2022",6:00p,Washington Wizards,121,Philadelphia 76ers,111,Box Score,,19855.0,Wells Fargo Center,
"Wed, Nov 2, 2022",7:30p,Boston Celtics,113,Cleveland Cavaliers,114,Box Score,OT,19432.0,Rocket Mortgage Fieldhouse,
"Wed, Nov 2, 2022",7:30p,Sacramento Kings,107,Miami Heat,110,Box Score,,19600.0,Kaseya Center,
"Wed, Nov 2, 2022",7:30p,Atlanta Hawks,112,New York Knicks,99,Box Score,,19812.0,Madison Square Garden (IV),
"Wed, Nov 2, 2022",8:00p,Charlotte Hornets,88,Chicago Bulls,106,Box Score,,17886.0,United Center,
"Wed, Nov 2, 2022",8:00p,Los Angeles Clippers,109,Houston Rockets,101,Box Score,,15860.0,Toyota Center,
"Wed, Nov 2, 2022",8:00p,Detroit Pistons,91,Milwaukee Bucks,116,Box Score,,17341.0,Fiserv Forum,
"Wed, Nov 2, 2022",8:00p,Toronto Raptors,143,San Antonio Spurs,100,Box Score,,12155.0,AT&T Center,
"Wed, Nov 2, 2022",8:30p,Utah Jazz,100,Dallas Mavericks,103,Box Score,,19877.0,American Airlines Center,
"Wed, Nov 2, 2022",10:00p,Memphis Grizzlies,111,Portland Trail Blazers,106,Box Score,,19462.0,Moda Center,
"Wed, Nov 2, 2022",10:30p,New Orleans Pelicans,117,Los Angeles Lakers,120,Box Score,OT,18997.0,Crypto.com Arena,
"Thu, Nov 3, 2022",7:00p,Golden State Warriors,129,Orlando Magic,130,Box Score,,18846.0,Amway Center,
"Thu, Nov 3, 2022",8:00p,Denver Nuggets,122,Oklahoma City Thunder,110,Box Score,,13791.0,Paycom Center,
"Fri, Nov 4, 2022",7:00p,Cleveland Cavaliers,112,Detroit Pistons,88,Box Score,,18744.0,Little Caesars Arena,
"Fri, Nov 4, 2022",7:00p,Miami Heat,99,Indiana Pacers,101,Box Score,,13141.0,Gainbridge Fieldhouse,
"Fri, Nov 4, 2022",7:00p,New York Knicks,106,Philadelphia 76ers,104,Box Score,,20679.0,Wells Fargo Center,
"Fri, Nov 4, 2022",7:00p,Brooklyn Nets,128,Washington Wizards,86,Box Score,,17258.0,Capital One Arena,
"Fri, Nov 4, 2022",7:30p,Chicago Bulls,119,Boston Celtics,123,Box Score,,19156.0,TD Garden,
"Fri, Nov 4, 2022",8:00p,Charlotte Hornets,99,Memphis Grizzlies,130,Box Score,,17187.0,FedEx Forum,
"Fri, Nov 4, 2022",8:00p,Los Angeles Clippers,113,San Antonio Spurs,106,Box Score,,12603.0,AT&T Center,
"Fri, Nov 4, 2022",8:30p,Toronto Raptors,110,Dallas Mavericks,111,Box Score,,20177.0,American Airlines Center,
"Fri, Nov 4, 2022",8:30p,Golden State Warriors,105,New Orleans Pelicans,114,Box Score,,18451.0,Smoothie King Center,
"Fri, Nov 4, 2022",10:00p,Milwaukee Bucks,115,Minnesota Timberwolves,102,Box Score,,17136.0,Target Center,
"Fri, Nov 4, 2022",10:00p,Portland Trail Blazers,108,Phoenix Suns,106,Box Score,,17071.0,Footprint Center,
"Fri, Nov 4, 2022",10:30p,Utah Jazz,130,Los Angeles Lakers,116,Box Score,,18997.0,Crypto.com Arena,
"Sat, Nov 5, 2022",5:00p,Sacramento Kings,126,Orlando Magic,123,Box Score,OT,18846.0,Amway Center,
"Sat, Nov 5, 2022",7:00p,Brooklyn Nets,98,Charlotte Hornets,94,Box Score,,19398.0,Spectrum Center,
"Sat, Nov 5, 2022",7:30p,New Orleans Pelicans,121,Atlanta Hawks,124,Box Score,OT,17654.0,State Farm Arena,
"Sat, Nov 5, 2022",7:30p,Boston Celtics,133,New York Knicks,118,Box Score,,19812.0,Madison Square Garden (IV),
"Sat, Nov 5, 2022",8:00p,Oklahoma City Thunder,94,Milwaukee Bucks,108,Box Score,,17713.0,Fiserv Forum,
"Sat, Nov 5, 2022",8:00p,Houston Rockets,117,Minnesota Timberwolves,129,Box Score,,16412.0,Target Center,
"Sat, Nov 5, 2022",9:00p,San Antonio Spurs,101,Denver Nuggets,126,Box Score,,19641.0,Ball Arena,
"Sat, Nov 5, 2022",10:00p,Portland Trail Blazers,82,Phoenix Suns,102,Box Score,,17071.0,Footprint Center,
"Sun, Nov 6, 2022",3:30p,Cleveland Cavaliers,114,Los Angeles Lakers,100,Box Score,,18997.0,Crypto.com Arena,
"Sun, Nov 6, 2022",6:00p,Washington Wizards,97,Memphis Grizzlies,103,Box Score,,16877.0,FedEx Forum,
"Sun, Nov 6, 2022",6:00p,Chicago Bulls,104,Toronto Raptors,113,Box Score,,19800.0,Scotiabank Arena,
